"Y","X1","X2","X3"
2.1774,0.47602,-0.064705,-0.20143
-1.1181,1.579,-0.82434,-0.719
0.483,0.95153,0.14891,-0.11837
-0.43415,0.92097,0.31227,0.31252
0.53443,-0.51617,0.032324,0.0086192
2.0512,1.9909,-0.28917,-0.23304
1.2726,-1.7271,0.8945,0.41341
-0.96588,-1.2493,-0.1187,-0.1064
1.1725,1.725,-0.04538,-0.12485
0.29966,1.0834,-0.49774,-0.11301
2.1525,-0.098673,0.19779,-0.18775
-0.46528,0.23603,0.34281,0.55868
0.021843,0.99127,-0.2051,-0.23184
0.41326,-0.18373,0.38316,0.10676
0.62238,0.64228,-0.038875,0.34737
-1.9671,-1.2007,-0.15364,0.064791
0.18574,-0.21801,0.43533,0.71127
-2.0604,0.30309,-0.30168,0.42843
1.6627,1.1219,0.16729,-0.092964
-0.67509,0.82508,-0.11795,-0.29631
0.77218,-0.68275,0.29924,0.34309
-1.1158,0.059368,0.28643,0.13733
1.6356,0.20109,0.19833,-0.52577
1.3911,1.4404,-0.24473,0.04988
1.2706,1.4576,0.085221,-0.059253
0.68528,-0.20275,-0.12917,-0.41664
0.76346,-0.51606,0.7131,0.0049915
-0.96154,-1.3499,-0.052182,-0.19123
1.163,-1.0027,0.39532,-0.061759
1.9956,1.3515,-0.35787,-0.6639
1.3284,0.35841,-0.00060523,0.094554
-2.1103,-0.54603,0.26311,0.6699
-0.21527,-0.26795,0.15425,0.53509
-0.8384,0.28766,-0.65709,-0.20694
-1.4264,-1.1151,0.23263,0.43104
-1.0878,1.5393,-0.37643,-0.13563
0.80778,0.66511,-0.25295,-0.94209
1.6435,-0.12113,0.15921,-0.54962
-0.32257,-2.0548,0.51985,0.06038
1.6566,0.39947,0.28094,-0.082871
1.6632,0.72113,-0.1064,-0.71549
-1.7738,0.12704,-0.31925,0.11579
-2.5276,-1.3066,0.16383,0.49079
0.9316,1.7015,0.040312,0.078288
-2.2917,-0.94216,-0.081332,-0.063988
-0.21504,0.44873,-0.6995,-0.40614
0.88669,-0.46021,0.42,0.11964
-0.028754,0.90777,-0.07316,-0.54035
-0.64721,-0.88182,0.34621,0.0092101
0.27857,0.1142,-0.45639,-0.30403
-0.20125,-0.86267,0.3029,0.4676
