"county","boxes","acres"
"Brevard",51,696
"Charlotte",821,13447
"Collier",2088,29351
"DeSoto",7688,66365
"Glades",368,5396
"Hardee",5306,43126
"Hendry",4652,61758
"Hernando",39,422
"Highlands",7843,57388
"Hillsborough",304,2881
"IndianRiver",820,6369
"Lake",567,5264
"Lee",641,8513
"Manatee",1602,14510
"Marion",69,835
"Martin",251,1970
"Okeechobee",135,2744
"Orange",108,1024
"Osceola",817,6354
"Pasco",205,1723
"Polk",9001,63479
"StLucie",1411,8140
"Sarasota",79,794
"Seminole",22,236
"Volusia ",51,531
