Prev.Length,Prev.Size,Browse.Time
60,0.8,16.54485092
60,0.6,14.90966109
75,0.7,14.15789157
90,0.8,15.65893316
90,0.6,17.07850638
60,0.8,19.07622319
60,0.6,12.58590288
75,0.7,9.951709875
90,0.8,17.64335882
90,0.6,18.00246564
60,0.8,15.95025047
60,0.6,15.98494752
75,0.7,12.68126937
90,0.8,14.78211371
90,0.6,25.85977681
60,0.8,13.44902173
60,0.6,18.98053227
75,0.7,15.45932044
90,0.8,21.07132263
90,0.6,15.29377348
60,0.8,17.24767874
60,0.6,14.49430465
75,0.7,15.18510014
90,0.8,17.2132903
90,0.6,14.68085941
60,0.8,19.24765395
60,0.6,14.86126559
75,0.7,18.58726361
90,0.8,17.34814502
90,0.6,10.78406693
60,0.8,18.05585821
60,0.6,14.57011836
75,0.7,12.86044563
90,0.8,13.53735118
90,0.6,17.99043686
60,0.8,17.55796925
60,0.6,18.23699598
75,0.7,14.48844871
90,0.8,18.48048911
90,0.6,12.08197117
60,0.8,18.20349469
60,0.6,11.64610985
75,0.7,15.91846661
90,0.8,20.053126
90,0.6,21.69758778
60,0.8,16.81021538
60,0.6,17.08568413
75,0.7,14.04131553
90,0.8,20.05078894
90,0.6,14.05095001
60,0.8,18.22898147
60,0.6,16.79161174
75,0.7,15.73115254
90,0.8,18.32949603
90,0.6,18.04096438
60,0.8,19.13481949
60,0.6,16.64785328
75,0.7,12.49478055
90,0.8,14.98438589
90,0.6,23.7592747
60,0.8,9.780884252
60,0.6,13.94125969
75,0.7,13.15187462
90,0.8,18.03076254
90,0.6,20.64827787
60,0.8,18.22047159
60,0.6,16.07859467
75,0.7,17.8033148
90,0.8,24.31173475
90,0.6,24.10049925
60,0.8,20.06834585
60,0.6,14.27174698
75,0.7,15.51622888
90,0.8,15.1260014
90,0.6,26.82505049
60,0.8,20.13462925
60,0.6,9.729853048
75,0.7,13.13829777
90,0.8,22.22959857
90,0.6,19.58931998
60,0.8,17.13974896
60,0.6,9.393505882
75,0.7,14.94564361
90,0.8,17.40104886
90,0.6,18.60573764
60,0.8,19.96569977
60,0.6,15.48850622
75,0.7,11.34050796
90,0.8,21.03306176
90,0.6,20.38177597
60,0.8,17.71162876
60,0.6,16.73128716
75,0.7,19.86837355
90,0.8,18.29758739
90,0.6,16.01542609
60,0.8,19.80066061
60,0.6,11.92680461
75,0.7,17.68143028
90,0.8,14.76412689
90,0.6,18.81891258
60,0.8,14.49317182
60,0.6,14.07426498
75,0.7,16.71304115
90,0.8,23.8116602
90,0.6,17.10370233
60,0.8,22.02050787
60,0.6,19.36422031
75,0.7,15.27532529
90,0.8,19.75834554
90,0.6,17.71513605
60,0.8,22.25668648
60,0.6,7.348927908
75,0.7,16.5349699
