Prev.Length,Prev.Size,Browse.Time
105,0.35,20.96225216
100,0.41011181,24.81111542
95,0.47022362,22.21166349
90,0.530335431,17.95678517
85,0.590447241,18.11279262
80,0.650559051,13.63848494
75,0.710670861,15.63438555
70,0.770782671,15.05834821
105,0.35,21.29304114
100,0.41011181,20.0274408
95,0.47022362,27.83849206
90,0.530335431,23.11986672
85,0.590447241,18.12669843
80,0.650559051,19.84953741
75,0.710670861,16.81370371
70,0.770782671,17.04461267
105,0.35,23.93878347
100,0.41011181,24.64206334
95,0.47022362,23.83436664
90,0.530335431,20.85778695
85,0.590447241,21.39725666
80,0.650559051,14.48797292
75,0.710670861,11.40325947
70,0.770782671,18.97079105
105,0.35,23.29951344
100,0.41011181,19.96501825
95,0.47022362,22.61695722
90,0.530335431,20.6393103
85,0.590447241,22.33009848
80,0.650559051,18.45272123
75,0.710670861,14.63384593
70,0.770782671,17.36259522
105,0.35,20.48461097
100,0.41011181,22.0640751
95,0.47022362,20.93869419
90,0.530335431,17.97025236
85,0.590447241,21.0014913
80,0.650559051,18.63178575
75,0.710670861,19.17282798
70,0.770782671,18.39017138
105,0.35,23.91139866
100,0.41011181,17.85548258
95,0.47022362,22.08030571
90,0.530335431,16.45011156
85,0.590447241,17.03670557
80,0.650559051,18.61452908
75,0.710670861,18.61892049
70,0.770782671,16.22412434
105,0.35,19.39414701
100,0.41011181,19.2487837
95,0.47022362,25.42339552
90,0.530335431,21.25466111
85,0.590447241,21.14738987
80,0.650559051,13.8311344
75,0.710670861,14.58680378
70,0.770782671,21.12618026
105,0.35,21.47888538
100,0.41011181,22.20555487
95,0.47022362,19.77855946
90,0.530335431,16.49193652
85,0.590447241,21.33992942
80,0.650559051,14.44576691
75,0.710670861,13.53175935
70,0.770782671,12.23620176
105,0.35,23.97522307
100,0.41011181,18.10009966
95,0.47022362,20.2295233
90,0.530335431,19.62271517
85,0.590447241,16.6197011
80,0.650559051,17.62092665
75,0.710670861,19.70843629
70,0.770782671,21.39706012
105,0.35,23.28554393
100,0.41011181,19.55110089
95,0.47022362,15.86883873
90,0.530335431,19.7135669
85,0.590447241,19.63294088
80,0.650559051,18.42467244
75,0.710670861,16.24809896
70,0.770782671,15.44112381
105,0.35,25.68187925
100,0.41011181,18.42407394
95,0.47022362,20.15651623
90,0.530335431,18.91169863
85,0.590447241,17.19447799
80,0.650559051,15.90648057
75,0.710670861,12.1018529
70,0.770782671,17.69184218
105,0.35,21.16964012
100,0.41011181,17.98291459
95,0.47022362,18.67598564
90,0.530335431,16.50730999
85,0.590447241,10.50917784
80,0.650559051,17.78580527
75,0.710670861,10.14095455
70,0.770782671,19.26422733
105,0.35,20.16128724
100,0.41011181,20.63970376
95,0.47022362,19.53247175
90,0.530335431,11.91233738
85,0.590447241,21.66708765
80,0.650559051,4.355877973
75,0.710670861,14.48191285
70,0.770782671,18.54066887
105,0.35,28.08872696
100,0.41011181,19.74441629
95,0.47022362,20.71772643
90,0.530335431,19.19832148
85,0.590447241,16.64278189
80,0.650559051,17.91506692
75,0.710670861,20.90187763
70,0.770782671,19.05583375
105,0.35,22.21396388
100,0.41011181,19.91186109
95,0.47022362,20.21717084
90,0.530335431,13.40917993
85,0.590447241,22.8165209
80,0.650559051,21.22498423
75,0.710670861,14.33468399
70,0.770782671,17.94588894
105,0.35,17.70889945
100,0.41011181,23.88825114
95,0.47022362,28.31862526
90,0.530335431,23.09701475
85,0.590447241,11.20574941
80,0.650559051,18.74537786
75,0.710670861,13.12054804
70,0.770782671,16.92174145
105,0.35,25.65196511
100,0.41011181,12.76367362
95,0.47022362,23.95913695
90,0.530335431,17.96726551
85,0.590447241,15.82826456
80,0.650559051,10.3765329
75,0.710670861,13.6711953
70,0.770782671,22.82795956
105,0.35,22.02943752
100,0.41011181,24.23059412
95,0.47022362,20.37986342
90,0.530335431,18.39683213
85,0.590447241,19.11030238
80,0.650559051,23.94980321
75,0.710670861,10.19491304
70,0.770782671,11.90227426
105,0.35,20.4679877
100,0.41011181,21.72714517
95,0.47022362,23.62420745
90,0.530335431,12.41024024
85,0.590447241,10.63550805
80,0.650559051,15.58095673
75,0.710670861,14.24920821
70,0.770782671,18.46964632
105,0.35,21.35572663
100,0.41011181,23.76122267
95,0.47022362,23.68265353
90,0.530335431,22.44560678
85,0.590447241,13.61964183
80,0.650559051,16.72624331
75,0.710670861,16.33457709
70,0.770782671,16.98891061
105,0.35,19.88391472
100,0.41011181,22.6582928
95,0.47022362,18.83441054
90,0.530335431,22.98107093
85,0.590447241,19.2835845
80,0.650559051,14.65614473
75,0.710670861,15.44205728
70,0.770782671,20.01419273
105,0.35,23.52062614
100,0.41011181,17.49043809
95,0.47022362,16.95332332
90,0.530335431,16.92950857
85,0.590447241,22.28826705
80,0.650559051,14.76725184
75,0.710670861,13.18950686
70,0.770782671,12.32323844
105,0.35,20.5783919
100,0.41011181,15.75465836
95,0.47022362,21.86761096
90,0.530335431,20.17628892
85,0.590447241,18.25866456
80,0.650559051,15.50378305
75,0.710670861,12.28323932
70,0.770782671,17.93438309
105,0.35,23.730552
100,0.41011181,20.53508886
95,0.47022362,21.99952149
90,0.530335431,17.85681217
85,0.590447241,17.0130145
80,0.650559051,14.74019139
75,0.710670861,14.71816052
70,0.770782671,15.34554612
105,0.35,30.96998008
100,0.41011181,27.84925784
95,0.47022362,20.23286403
90,0.530335431,21.55709986
85,0.590447241,23.81307719
80,0.650559051,18.24160476
75,0.710670861,14.7093895
70,0.770782671,18.88177485
105,0.35,22.7033657
100,0.41011181,21.58493489
95,0.47022362,17.07786105
90,0.530335431,19.43726379
85,0.590447241,19.37219242
80,0.650559051,11.76512674
75,0.710670861,15.6107484
70,0.770782671,18.79075552
105,0.35,21.79562235
100,0.41011181,24.55425135
95,0.47022362,21.66001753
90,0.530335431,18.11809977
85,0.590447241,17.8773591
80,0.650559051,15.40585451
75,0.710670861,11.98843613
70,0.770782671,16.09301112
105,0.35,24.920143
100,0.41011181,25.33315507
95,0.47022362,27.55250096
90,0.530335431,17.91613899
