Y,Condition,Block
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
1,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
1,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
1,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
1,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
1,3,NE
0,3,NE
1,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
1,3,NE
0,3,NE
1,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
1,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
1,3,NE
1,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
1,3,NE
0,3,NE
0,3,NE
1,3,NE
1,3,NE
0,3,NE
0,3,NE
1,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
1,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
1,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
1,3,NE
1,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
1,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
1,3,NE
1,3,NE
1,3,NE
1,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
1,3,NE
1,3,NE
1,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
1,3,NE
0,3,NE
0,3,NE
0,3,NE
1,3,NE
0,3,NE
0,3,NE
1,3,NE
0,3,NE
0,3,NE
1,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
1,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
0,3,NE
1,3,NE
0,3,NE
0,3,NE
0,3,NE
