Time,Frequency,Type
7.008646559,0,1
6.692199128,0,1
8.486351245,0,1
7.168847099,0,1
5.413765662,0,1
6.524731671,0,1
7.838156603,0,1
6.080779549,0,1
6.315004107,0,1
8.199488743,0,1
6.74717002,0,1
6.83095508,0,1
6.847200206,0,1
6.619880898,0,1
6.444679411,0,1
4.326814141,0,1
6.587073874,0,1
5.590735243,0,1
7.855631328,0,1
5.803330829,0,1
6.830299425,0,1
9.203268157,0,1
7.366240126,0,1
6.874167767,0,1
8.790456471,0,1
6.493224587,0,1
7.511765301,0,1
5.572201969,0,1
5.020042596,0,1
7.978175691,0,1
6.939805587,0,1
7.628169539,0,1
5.908433876,0,1
5.571603196,0,1
7.273146893,0,1
7.982335426,0,1
6.98525482,0,1
6.579848859,0,1
6.243181445,0,1
8.575233357,0,1
7.669206557,0,1
5.407651474,0,1
7.159667303,0,1
6.768424954,0,1
7.215511727,0,1
7.10132452,0,1
7.416662064,0,1
7.521097362,0,1
6.381971092,0,1
7.048634676,0,1
8.036529762,0,1
7.512209725,0,1
5.652652971,0,1
7.239011808,0,1
8.697942832,0,1
6.623115755,0,1
5.168065457,0,1
6.984298064,0,1
4.161833662,0,1
8.332660352,0,1
7.419633188,0,1
7.359639968,0,1
6.317375198,0,1
6.070040923,0,1
6.762662342,0,1
5.376843961,0,1
7.421958861,0,1
8.51619695,0,1
7.012384616,0,1
6.285285766,0,1
6.588410745,0,1
6.401281047,0,1
7.771315439,0,1
8.256480107,0,1
5.793868444,0,1
8.083830005,0,1
6.570848668,0,1
7.747675131,0,1
6.68289036,0,1
6.831434655,0,1
8.071069602,0,1
7.456892126,0,1
7.129472887,0,1
7.343732785,0,1
7.162975275,0,1
7.074154088,0,1
7.615736923,0,1
5.836173645,0,1
6.881761975,0,1
6.536533077,0,1
9.172838116,0,1
6.579608882,0,1
7.831855783,0,1
6.545395776,0,1
8.738102751,0,1
7.139462534,0,1
6.941658736,0,1
8.08268209,0,1
7.934802818,0,1
6.306556307,0,1
7.669682845,0,1
8.413689696,0,1
6.914700092,0,1
5.155824417,0,1
7.253595243,0,1
6.486082971,0,1
8.604823339,0,1
7.753793594,0,1
7.25610626,0,1
7.05984946,0,1
7.146596023,0,1
6.508608017,0,1
5.467684971,0,1
7.922344032,0,1
6.261185071,0,1
6.406248669,0,1
7.12848264,0,1
6.549037497,0,1
6.423502907,0,1
7.209694288,0,1
7.83988605,0,1
7.271830681,0,1
7.407762977,0,1
7.423886033,0,1
8.001832503,0,1
8.142176958,0,1
6.027008687,0,1
5.935244866,0,1
6.308249232,0,1
6.304518919,0,1
8.058997947,0,1
7.794429619,0,1
7.714491036,0,1
6.043979774,0,1
8.417503097,0,1
7.930290411,0,1
7.505988948,0,1
6.957403421,0,1
8.470791461,0,1
8.195441142,0,1
8.586906407,0,1
6.454471853,0,1
6.691090747,0,1
7.9358228,0,1
6.141626851,0,1
6.300981094,0,1
6.334790842,0,1
6.751239454,0,1
8.041119219,0,1
4.861242541,0,1
7.165390072,0,1
6.212016723,0,1
4.87081468,0,1
7.336875961,0,1
6.746253323,0,1
7.313189137,0,1
6.574751797,0,1
6.221341022,0,1
7.14251978,0,1
6.622289217,0,1
7.020286301,0,1
7.206029767,0,1
6.537250982,0,1
8.59164742,0,1
6.113134904,0,1
6.397578961,0,1
6.311314505,0,1
7.170807262,0,1
6.38349533,0,1
7.839557984,0,1
7.410974725,0,1
6.741189873,0,1
6.057493151,0,1
6.755348735,0,1
7.578577081,0,1
6.553546489,0,1
6.178288169,0,1
7.429962615,0,1
5.128528298,0,1
7.302602884,0,1
6.368524978,0,1
7.25728156,0,1
8.577430446,0,1
7.193519997,0,1
6.649654107,0,1
5.935393982,0,1
6.981142858,0,1
7.027162381,0,1
7.367745851,0,1
6.78498023,0,1
5.825794031,0,1
4.770054873,0,1
5.77442649,0,1
8.257962027,0,1
8.830702421,0,1
8.309044046,0,1
6.605842939,0,1
5.358292606,0,1
7.376581251,0,1
6.752663253,0,1
8.026879766,0,1
6.245859591,0,1
6.317115405,0,1
8.653014287,0,1
6.563288381,0,1
7.481962742,0,1
7.10105124,0,1
9.509012997,0,1
6.578031476,0,1
8.437842727,0,1
6.135077193,0,1
7.413291416,0,1
6.546766741,0,1
8.255407497,0,1
7.529676651,0,1
7.644910629,0,1
4.882026314,0,1
6.331563274,0,1
8.009868841,0,1
5.731034756,0,1
6.92900796,0,1
7.344813498,0,1
9.013638991,0,1
6.901189896,0,1
7.379499066,0,1
5.65014159,0,1
5.282964912,0,1
6.11370468,0,1
7.491023036,0,1
8.059857222,0,1
6.362723331,0,1
7.436416112,0,1
7.601718721,0,1
6.842736853,0,1
6.892381345,0,1
7.928784701,0,1
6.381196124,0,1
5.216716817,0,1
6.964954151,0,1
5.709642944,0,1
5.309576057,0,1
6.978687098,0,1
7.063873299,0,1
7.974985048,0,1
6.494362591,0,1
6.699751196,0,1
7.366752052,0,1
7.002141027,0,1
5.598169253,0,1
7.2861776,0,1
7.342215078,0,1
6.43029574,0,1
7.277813488,0,1
6.927302215,0,1
6.717233503,0,1
7.758381456,0,1
5.308406006,0,1
6.246993538,0,1
7.369898618,0,1
7.122661545,0,1
6.628293349,0,1
6.913857421,0,1
6.156069548,0,1
4.945927084,0,1
7.863764772,0,1
9.101608612,0,1
5.961873432,0,1
6.649163482,0,1
7.131891849,0,1
6.775698102,0,1
8.418369698,0,1
7.300221841,0,1
4.851359905,0,1
6.054319363,0,1
5.274919479,0,1
8.275503094,0,1
7.241567071,0,1
5.025576467,0,1
7.427889593,0,1
7.93224528,0,1
6.413375425,0,1
5.995947542,0,1
6.307140519,0,1
6.833860138,0,1
8.208784118,0,1
9.301313969,0,1
7.801273842,0,1
6.59387383,0,1
7.799722344,0,1
7.775018695,0,1
6.487012858,0,1
6.052038485,0,1
6.118510186,0,1
6.919348478,0,1
8.41389007,0,1
7.177186126,0,1
7.097841788,0,1
6.041797302,0,1
9.097405099,0,1
6.395269962,0,1
7.077691064,0,1
8.389333688,0,1
5.930432862,0,1
5.943315956,0,1
6.607554044,0,1
5.953844319,0,1
6.493826226,0,1
4.672907171,0,1
5.570243172,0,1
6.860168582,0,1
7.513134631,0,1
6.557794433,0,1
6.650919891,0,1
7.528721583,0,1
6.52461518,0,1
7.074387531,0,1
6.149797148,0,1
5.6087292,0,1
7.287267692,0,1
8.224898694,0,1
8.032488524,0,1
4.263887359,0,1
8.010347912,0,1
6.671124551,0,1
7.160957001,0,1
7.039605505,0,1
7.130625705,0,1
7.443200613,0,1
7.436788007,0,1
6.361263126,0,1
7.983501269,0,1
7.652019651,0,1
6.930576456,0,1
6.135418633,0,1
7.412580797,0,1
8.673299177,0,1
6.260361478,0,1
7.223832099,0,1
7.193752674,0,1
6.486670215,0,1
6.683701954,0,1
6.850072406,0,1
8.798970763,0,1
6.687346621,0,1
8.468136957,0,1
6.763406651,0,1
6.838764888,0,1
9.570774275,0,1
8.182782081,0,1
7.000009387,0,1
8.872375271,0,1
6.5950835,0,1
7.334151605,0,1
7.842515234,0,1
6.281383023,0,1
5.708108757,0,1
7.142580663,0,1
8.884870071,0,1
7.10298606,0,1
6.803558404,0,1
7.076478336,0,1
5.807734115,0,1
7.60818727,0,1
7.640547557,0,1
6.952466436,0,1
7.65007427,0,1
7.61036278,0,1
6.988480718,0,1
6.463710907,0,1
7.166702043,0,1
7.551634199,0,1
6.821181872,0,1
7.433813278,0,1
3.316367572,0,1
7.082538793,0,1
7.408578076,0,1
8.0060083,0,1
6.584568271,0,1
7.023212152,0,1
7.716794435,0,1
7.04835587,0,1
6.586194615,0,1
7.958352363,0,1
5.946913432,0,1
7.828758032,0,1
6.024951149,0,1
6.223259544,0,1
6.735811834,0,1
6.938144198,0,1
7.239872215,0,1
6.863290776,0,1
4.312879833,0,1
6.364664167,0,1
7.197721609,0,1
6.692271346,0,1
7.81757902,0,1
4.918755701,0,1
7.109693651,0,1
7.485328433,0,1
8.13064007,0,1
7.293860357,0,1
7.408698707,0,1
7.067872878,0,1
5.822067097,0,1
7.312656486,0,1
6.18597834,0,1
7.842405716,0,1
5.976133535,0,1
6.443281969,0,1
8.447742121,0,1
6.386952897,0,1
6.429076283,0,1
6.93364456,0,1
6.767596639,0,1
7.591447944,0,1
7.640159045,0,1
6.815675357,0,1
7.873371083,0,1
7.560577573,0,1
7.733205411,0,1
8.239584529,0,1
7.681654898,0,1
7.380903904,0,1
6.377158875,0,1
7.215856134,0,1
6.661727324,0,1
7.19504072,0,1
5.871813909,0,1
8.14588489,0,1
5.950358603,0,1
5.180105521,0,1
7.114066507,0,1
7.496911527,0,1
6.603583404,0,1
6.771333635,0,1
5.666609388,0,1
7.673964276,0,1
6.69161155,0,1
6.003387144,0,1
7.937211794,0,1
5.996307622,0,1
7.831601017,0,1
8.569186356,0,1
5.935080965,0,1
6.432536608,0,1
6.279943354,0,1
6.860294664,0,1
6.379518058,0,1
5.893867028,0,1
6.134648489,0,1
7.57646015,0,1
6.599645993,0,1
7.267984153,0,1
7.645419786,0,1
9.474400348,0,1
5.866143201,0,1
9.337774006,0,1
5.935212905,0,1
7.791072123,0,1
7.956161693,0,1
8.779233415,0,1
6.362503495,0,1
6.469457539,0,1
6.910120565,0,1
6.038724139,0,1
4.906598216,0,1
6.697222501,0,1
5.588893223,0,1
5.785370668,0,1
7.456195114,0,1
7.705872671,0,1
7.716249479,0,1
8.561001678,0,1
6.616657525,0,1
7.283129348,0,1
5.927211453,0,1
7.090338068,0,1
6.882652082,0,1
6.498757596,0,1
5.192923182,0,1
7.055228198,0,1
7.00134072,0,1
5.299402121,0,1
4.473383747,0,1
5.35983766,0,1
7.373430639,0,1
6.227439793,0,1
7.705776462,0,1
5.068129835,0,1
7.70233499,0,1
6.700506142,0,1
7.244689146,0,1
6.588043753,0,1
7.32743112,0,1
7.015600897,0,1
6.479741851,0,1
5.436494203,0,1
8.357875454,0,1
6.331875267,0,1
8.230879738,0,1
7.317950748,0,1
7.391341512,0,1
5.455055844,0,1
5.984256495,0,1
5.872429994,0,1
6.305825501,0,1
