salin temp O2 hatch total
14.00 2.70 3.60 224 283
14.00 2.70 3.60 160 235
14.00 2.70 3.60 180 245
14.00 2.70 3.60 182 320
14.00 2.70 8.60 231 325
14.00 2.70 8.60 171 207
14.00 2.70 8.60 237 283
14.00 2.70 8.60 178 270
14.00 9.30 3.60 159 240
14.00 9.30 3.60 234 349
14.00 9.30 3.60 163 229
14.00 9.30 3.60 295 385
14.00 9.30 8.60 186 314
14.00 9.30 8.60  97 298
14.00 9.30 8.60 214 297
14.00 9.30 8.60  74 244
26.00 2.70 3.60   5 217
26.00 2.70 3.60   2 243
26.00 2.70 3.60   5 316
26.00 2.70 3.60   3 224
26.00 2.70 8.60 143 292
26.00 2.70 8.60 159 301
26.00 2.70 8.60 186 316
26.00 2.70 8.60 138 264
26.00 9.30 3.60  19 262
26.00 9.30 3.60  36 277
26.00 9.30 3.60  18 263
26.00 9.30 3.60  44 290
26.00 9.30 8.60  74 293
26.00 9.30 8.60  68 181
26.00 9.30 8.60 152 307
26.00 9.30 8.60  45 167
20.00 6.00 6.10 221 259
20.00 6.00 6.10 238 277
20.00 6.00 6.10 224 296
20.00 6.00 6.10 281 333
12.71 6.00 6.10 222 268
12.71 6.00 6.10 197 289
12.71 6.00 6.10 279 341
12.71 6.00 6.10 294 350
27.29 6.00 6.10  46 230
27.29 6.00 6.10 243 370
27.29 6.00 6.10  62 214
27.29 6.00 6.10 138 265
20.00 2.00 6.10  20 230
20.00 2.00 6.10  11 175
20.00 2.00 6.10  10 233
20.00 2.00 6.10   7 236
20.00 10.0 6.10 130 389
20.00 10.0 6.10 119 226
20.00 10.0 6.10  98 247
20.00 10.0 6.10 122 292
20.00 6.00 3.08 187 293
20.00 6.00 3.08 168 258
20.00 6.00 3.08 214 271
20.00 6.00 3.08 179 220
20.00 6.00 9.14 220 247
20.00 6.00 9.14 237 259
20.00 6.00 9.14 159 173
20.00 6.00 9.14 275 322
20.00 6.00 6.10 268 475
20.00 6.00 6.10 272 493
20.00 6.00 6.10 416 518
20.00 6.00 6.10 376 426
19.28 5.43 12.4 197 353
19.28 5.43 12.4 262 312
19.28 5.43 12.4 344 420
19.28 5.43 12.4 282 400
16.77 5.75 9.46 432 472
16.77 5.75 9.46 640 784
16.77 5.75 9.46 730 845
16.77 5.75 9.46 736 824
14.25 6.05 6.53 320 375
14.25 6.05 6.53 301 406
14.25 6.05 6.53 357 425
14.25 6.05 6.53 391 473
